2018-01-06 10:14:35 INFO  Utils:30 - generateUUID
2018-01-07 02:12:23 INFO  Utils:29 - -------------------------------------------------------------------------------------------
2018-01-07 02:12:24 INFO  Utils:30 - Starting the Shopping Cart Application
2018-01-07 02:12:24 INFO  Utils:31 - -------------------------------------------------------------------------------------------
2018-01-07 02:12:24 INFO  Utils:37 - Creating UserService
2018-01-07 02:12:24 INFO  Utils:44 - [{"userId":2218593789584952120,"userEmailId":"john@gmail.com","userName":"JOHN SMITH","shippingAddresses":[{"street":"100 MAIN ST PO BOX 1022","city":"SEATTLE","state":"WA","country":"USA","zipcode":"98104"}],"userState":"ACTIVE","createdOn":{"dayOfMonth":7,"dayOfWeek":"SUNDAY","dayOfYear":7,"month":"JANUARY","monthValue":1,"year":2018,"hour":2,"minute":12,"nano":343000000,"second":24,"chronology":{"id":"ISO","calendarType":"iso8601"}}}, {"userId":1324410671389428118,"userEmailId":"mary@gmail.com","userName":"MARY ROE","shippingAddresses":[{"street":"MEGASYSTEMS INC SUITE 5A-1204","city":"TUCSON","state":"AZ","country":"USA","zipcode":"85705"}],"userState":"ACTIVE","createdOn":{"dayOfMonth":7,"dayOfWeek":"SUNDAY","dayOfYear":7,"month":"JANUARY","monthValue":1,"year":2018,"hour":2,"minute":12,"nano":343000000,"second":24,"chronology":{"id":"ISO","calendarType":"iso8601"}}}]
2018-01-07 02:12:24 INFO  Utils:46 - Get the user by email Id john@gmail.com
2018-01-07 02:12:24 INFO  Utils:52 - {"userId":2218593789584952120,"userEmailId":"john@gmail.com","userName":"JOHN SMITH","shippingAddresses":[{"street":"100 MAIN ST PO BOX 1022","city":"SEATTLE","state":"WA","country":"USA","zipcode":"98104"}],"userState":"ACTIVE","createdOn":{"dayOfMonth":7,"dayOfWeek":"SUNDAY","dayOfYear":7,"month":"JANUARY","monthValue":1,"year":2018,"hour":2,"minute":12,"nano":343000000,"second":24,"chronology":{"id":"ISO","calendarType":"iso8601"}}}
2018-01-07 02:12:24 INFO  Utils:55 - User ID 2218593789584952120
2018-01-07 02:12:24 INFO  Utils:57 - Creating ProductInfoService
2018-01-07 02:12:24 INFO  Utils:64 - [{"code":"a06370ae-5b9b-4c83-a1e8-198db7795759","name":"Dove Soap","price":39.99,"description":"Dove Soap is a beauty soap.","manufacturer":"Dove Ltd.","creadtedOn":{"dayOfMonth":7,"dayOfWeek":"SUNDAY","dayOfYear":7,"month":"JANUARY","monthValue":1,"year":2018,"hour":2,"minute":12,"nano":745000000,"second":24,"chronology":{"id":"ISO","calendarType":"iso8601"}}}, {"code":"086c8f6c-0e2c-4342-86b0-f04c6b0b534e","name":"Axe Deo","price":99.99,"description":"Axe Deo is a body Deodrant.","manufacturer":"Axe Ltd.","creadtedOn":{"dayOfMonth":7,"dayOfWeek":"SUNDAY","dayOfYear":7,"month":"JANUARY","monthValue":1,"year":2018,"hour":2,"minute":12,"nano":745000000,"second":24,"chronology":{"id":"ISO","calendarType":"iso8601"}}}, {"code":"6748b4f5-628c-4076-ad20-205448fc008e","name":"Killer Deo","price":150.56,"description":"Killer Deo is a body Deodrant.","manufacturer":"Killer Ltd.","creadtedOn":{"dayOfMonth":7,"dayOfWeek":"SUNDAY","dayOfYear":7,"month":"JANUARY","monthValue":1,"year":2018,"hour":2,"minute":12,"nano":745000000,"second":24,"chronology":{"id":"ISO","calendarType":"iso8601"}}}]
2018-01-07 02:12:24 INFO  Utils:66 - Get the product info by name as Dove Soap
2018-01-07 02:12:24 INFO  Utils:73 - {"code":"a06370ae-5b9b-4c83-a1e8-198db7795759","name":"Dove Soap","price":39.99,"description":"Dove Soap is a beauty soap.","manufacturer":"Dove Ltd.","creadtedOn":{"dayOfMonth":7,"dayOfWeek":"SUNDAY","dayOfYear":7,"month":"JANUARY","monthValue":1,"year":2018,"hour":2,"minute":12,"nano":745000000,"second":24,"chronology":{"id":"ISO","calendarType":"iso8601"}}}
2018-01-07 02:12:24 INFO  Utils:75 - Creating doveSoapProduct
2018-01-07 02:12:24 INFO  Utils:78 - Creating OrderService
2018-01-07 02:12:24 INFO  Utils:81 - Creating an order for user
2018-01-07 02:12:24 INFO  Utils:85 - Get order id as 8be4169a-a124-4b44-9023-fa4fbabd926c
2018-01-07 02:12:24 INFO  Utils:87 - Adding 5 dove soap products in the order
2018-01-07 02:12:24 INFO  Utils:94 - [{"product":{"code":"a06370ae-5b9b-4c83-a1e8-198db7795759","name":"Dove Soap","price":39.99,"description":"Dove Soap is a beauty soap.","manufacturer":"Dove Ltd.","creadtedOn":{"dayOfMonth":7,"dayOfWeek":"SUNDAY","dayOfYear":7,"month":"JANUARY","monthValue":1,"year":2018,"hour":2,"minute":12,"nano":745000000,"second":24,"chronology":{"id":"ISO","calendarType":"iso8601"}}},"quantity":5}]
